title,year,citation_count,llm_relevance_score,doi,source,llm_reasoning
"DeFi Protocols for Loanable Funds: Interest Rates, Liquidity and Market Efficiency",2020,0,50,,arxiv,Scoring failed: 'list' object has no attribute 'get'
SoK: Yield Aggregators in DeFi,2021,0,50,10.1109/ICBC54727.2022.9805523,arxiv,Scoring failed: 'list' object has no attribute 'get'
Mitigating Blockchain extractable value (BEV) threats by Distributed Transaction Sequencing in Blockchains,2025,0,48,10.48550/arXiv.2503.06279,semantic_scholar,Scoring failed: 'list' object has no attribute 'get'
"An Empirical Study of DeFi Liquidations: Incentives, Risks, and Instabilities",2021,0,48,10.1145/3487552.3487811,arxiv,Scoring failed: 'list' object has no attribute 'get'
Formal Analysis of Composable DeFi Protocols,2021,0,48,,arxiv,Scoring failed: 'list' object has no attribute 'get'
An Evaluation System for DeFi Lending Protocols,2023,0,48,,arxiv,Scoring failed: 'list' object has no attribute 'get'
DeFi Liquidation Risk Modeling Using Geometric Brownian Motion,2025,0,48,,arxiv,Scoring failed: 'list' object has no attribute 'get'
A theory of Lending Protocols in DeFi,2025,0,48,,arxiv,Scoring failed: 'list' object has no attribute 'get'
Liquidations: DeFi on a Knife-edge,2020,0,48,10.1007/978-3-662-64331-0_24,arxiv,Scoring failed: 'list' object has no attribute 'get'
A Short Survey on Business Models of Decentralized Finance (DeFi) Protocols,2022,0,48,10.1007/978-3-031-32415-4_13,arxiv,Scoring failed: 'list' object has no attribute 'get'
FORAY: Towards Effective Attack Synthesis against Deep Logical Vulnerabilities in DeFi Protocols,2024,0,48,10.1145/3658644.3690293,arxiv,Scoring failed: 'list' object has no attribute 'get'
"A multi-asset, agent-based approach applied to DeFi lending protocol modelling",2022,0,48,,arxiv,Scoring failed: 'list' object has no attribute 'get'
Ergodic optimal liquidations in DeFi,2024,0,48,,arxiv,Scoring failed: 'list' object has no attribute 'get'
Safeguarding the Unseen: a Study on Data Privacy in DeFi Protocols,2022,0,48,,arxiv,Scoring failed: 'list' object has no attribute 'get'
"Editorial to special issue “Hidden market linkages between Bitcoin, cryptocurrencies and financial markets: Evidence from high-frequency data and higher-order moments” in financial innovation",2023,1,36,10.1186/s40854-023-00560-9,semantic_scholar,Scoring failed: 'list' object has no attribute 'get'
Detecting Various DeFi Price Manipulations with LLM Reasoning,2025,0,36,,arxiv,Scoring failed: 'list' object has no attribute 'get'
Short Squeeze in DeFi Lending Market: Decentralization in Jeopardy?,2023,0,36,,arxiv,Scoring failed: 'list' object has no attribute 'get'
Tracing Cryptocurrency Scams: Clustering Replicated Advance-Fee and Phishing Websites,2020,0,36,,arxiv,Scoring failed: 'list' object has no attribute 'get'
Inferring the Underlying Structure of Information Cascades,2012,0,36,,arxiv,Scoring failed: 'list' object has no attribute 'get'
Universal Scaling in Saddle-Node Bifurcation Cascades (II) Intermittency Cascade,2005,0,36,,arxiv,Scoring failed: 'list' object has no attribute 'get'
DeFiTail: DeFi Protocol Inspection through Cross-Contract Execution Analysis,2024,0,36,,arxiv,Scoring failed: 'list' object has no attribute 'get'
Explicit size distributions of failure cascades redefine systemic risk on finite networks,2018,0,36,,arxiv,Scoring failed: 'list' object has no attribute 'get'
Penetrating the Hostile: Detecting DeFi Protocol Exploits through Cross-Contract Analysis,2025,0,36,,arxiv,Scoring failed: 'list' object has no attribute 'get'
Implementing a Protocol Native Managed Cryptocurrency,2019,0,36,,arxiv,Scoring failed: 'list' object has no attribute 'get'
Momentum and liquidity in cryptocurrencies,2019,0,36,,arxiv,Scoring failed: 'list' object has no attribute 'get'
Perpetual Contract NFT as Collateral for DeFi Composability,2022,0,36,10.1109/ACCESS.2022.3225884,arxiv,Scoring failed: 'list' object has no attribute 'get'
"Optimal liquidation with temporary and permanent price impact, an application to cryptocurrencies",2023,0,36,,arxiv,Scoring failed: 'list' object has no attribute 'get'
DeFi-ning DeFi: Challenges & Pathway,2021,0,36,,arxiv,Scoring failed: 'list' object has no attribute 'get'
An Experimental Study of Cryptocurrency Market Dynamics,2018,0,36,10.1145/3173574.3174179,arxiv,Scoring failed: 'list' object has no attribute 'get'
"Valuation, Liquidity Price, and Stability of Cryptocurrencies",2018,0,36,10.1073/pnas.1722031115,arxiv,Scoring failed: 'list' object has no attribute 'get'
Electromagnetic Cascades and Cascade Nucleosynthesis in the Early Universe,1994,0,36,10.1103/PhysRevD.51.4134,arxiv,Scoring failed: 'list' object has no attribute 'get'
A Bayesian model of information cascades,2021,0,36,10.1007/978-3-031-16617-4_7,arxiv,Scoring failed: 'list' object has no attribute 'get'
